what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.maven.ide.eclipse.refactoring,0.9.8.200905041414,"org.maven.ide.eclipse.refactoring",1258912183337
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.2.6.v200910131704,"com.google.appengine.eclipse.sdkbundle",1258912183341
stopped,bundle,com.google.appengine.eclipse.core,1.1.2.v200910131704,"com.google.appengine.eclipse.core",1258912183341
stopped,bundle,com.google.gdt.eclipse.core,1.1.2.v200910131704,"com.google.gdt.eclipse.core",1258912183342
stopped,bundle,com.google.gdt.eclipse.platform,1.1.2.v200910131704,"com.google.gdt.eclipse.platform",1258912183343
stopped,bundle,com.google.gdt.eclipse.platform.e35,1.1.2.v200910131704,"com.google.gdt.eclipse.platform.e35",1258912183343
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1258912183343
stopped,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1258912183344
stopped,bundle,org.maven.ide.eclipse,0.9.8.200905041413,"org.maven.ide.eclipse",1258912183345
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1258912183346
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ui",1258912183348
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1258912183349
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.resources.ui",1258912183371
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.0.v20091015-0500-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1258912183372
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1258912183373
